time_period,location,population,rainfall,mean_temperature
2024-01,region_A,100000,128,22
2024-02,region_A,100000,98,24
2024-03,region_A,100000,78,26
2024-04,region_A,100000,48,28
2024-05,region_A,100000,21,30
2024-06,region_A,100000,11,32
2024-01,region_B,150000,142,20
2024-02,region_B,150000,112,22
2024-03,region_B,150000,88,24
2024-04,region_B,150000,54,26
2024-05,region_B,150000,26,28
2024-06,region_B,150000,13,30
2024-01,region_C,80000,108,24
2024-02,region_C,80000,86,26
2024-03,region_C,80000,71,28
2024-04,region_C,80000,41,30
2024-05,region_C,80000,19,32
2024-06,region_C,80000,9,34
