time_period,location,disease_cases,population,rainfall,mean_temperature
2022-01,region_A,45,100000,120,22
2022-02,region_A,52,100000,95,24
2022-03,region_A,38,100000,80,26
2022-04,region_A,41,100000,45,28
2022-05,region_A,35,100000,20,30
2022-06,region_A,28,100000,10,32
2022-07,region_A,22,100000,5,33
2022-08,region_A,25,100000,8,32
2022-09,region_A,31,100000,25,29
2022-10,region_A,42,100000,60,26
2022-11,region_A,55,100000,100,23
2022-12,region_A,48,100000,130,21
2023-01,region_A,51,100000,125,22
2023-02,region_A,58,100000,100,24
2023-03,region_A,44,100000,75,26
2023-04,region_A,39,100000,50,28
2023-05,region_A,32,100000,22,30
2023-06,region_A,26,100000,12,32
2023-07,region_A,20,100000,6,34
2023-08,region_A,23,100000,9,33
2023-09,region_A,29,100000,28,29
2023-10,region_A,40,100000,65,26
2023-11,region_A,53,100000,105,23
2023-12,region_A,46,100000,135,21
2022-01,region_B,72,150000,140,20
2022-02,region_B,85,150000,110,22
2022-03,region_B,65,150000,90,24
2022-04,region_B,58,150000,55,26
2022-05,region_B,48,150000,25,28
2022-06,region_B,38,150000,12,30
2022-07,region_B,32,150000,6,31
2022-08,region_B,35,150000,10,30
2022-09,region_B,45,150000,30,27
2022-10,region_B,62,150000,70,24
2022-11,region_B,80,150000,115,21
2022-12,region_B,75,150000,145,19
2023-01,region_B,78,150000,138,20
2023-02,region_B,88,150000,108,22
2023-03,region_B,68,150000,85,24
2023-04,region_B,55,150000,52,26
2023-05,region_B,45,150000,28,28
2023-06,region_B,36,150000,14,30
2023-07,region_B,30,150000,7,32
2023-08,region_B,33,150000,11,31
2023-09,region_B,43,150000,32,27
2023-10,region_B,60,150000,68,24
2023-11,region_B,78,150000,112,21
2023-12,region_B,73,150000,142,19
2022-01,region_C,28,80000,100,24
2022-02,region_C,32,80000,85,26
2022-03,region_C,25,80000,70,28
2022-04,region_C,22,80000,40,30
2022-05,region_C,18,80000,18,32
2022-06,region_C,14,80000,8,34
2022-07,region_C,12,80000,4,35
2022-08,region_C,13,80000,6,34
2022-09,region_C,17,80000,20,31
2022-10,region_C,24,80000,50,28
2022-11,region_C,30,80000,90,25
2022-12,region_C,27,80000,110,23
2023-01,region_C,30,80000,105,24
2023-02,region_C,35,80000,88,26
2023-03,region_C,27,80000,72,28
2023-04,region_C,23,80000,42,30
2023-05,region_C,19,80000,20,32
2023-06,region_C,15,80000,9,34
2023-07,region_C,11,80000,5,36
2023-08,region_C,14,80000,7,35
2023-09,region_C,18,80000,22,31
2023-10,region_C,25,80000,52,28
2023-11,region_C,32,80000,92,25
2023-12,region_C,29,80000,108,23
